Title,Author,Genre,SubGenre,Height,Publisher,Id,Status
Fundamentals of Wavelets,"Goswami, Jaideva",tech,signal_processing,228.0,Wiley,0.0,
Data Smart,"Foreman, John",tech,data_science,235.0,Wiley,1.0,
God Created the Integers,"Hawking, Stephen",tech,mathematics,197.0,Penguin,2.0,
Superfreakonomics,"Dubner, Stephen",science,economics,179.0,HarperCollins,3.0,
Orientalism,"Said, Edward",nonfiction,history,197.0,Penguin,4.0,
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,data_science,230.0,Springer,5.0,
Integration of the Indian States,"Menon, V P",nonfiction,history,217.0,Orient Blackswan,6.0,
"Drunkard's Walk, The","Mlodinow, Leonard",science,mathematics,197.0,Penguin,7.0,
Image Processing & Mathematical Morphology,"Shih, Frank",tech,signal_processing,241.0,CRC,8.0,
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,psychology,240.0,Penguin,9.0,
Data Scientists at Work,Sebastian Gutierrez,tech,data_science,230.0,Apress,10.0,
Slaughterhouse Five,"Vonnegut, Kurt",fiction,classic,198.0,Random House,11.0,
Birth of a Theorem,"Villani, Cedric",science,mathematics,234.0,Bodley Head,12.0,
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,computer_science,240.0,MIT Press,13.0,
"Age of Wrath, The","Eraly, Abraham",nonfiction,history,238.0,Penguin,14.0,
"Trial, The","Kafka, Frank",fiction,classic,198.0,Random House,15.0,
Statistical Decision Theory',"Pratt, John",tech,data_science,236.0,MIT Press,16.0,
Data Mining Handbook,"Nisbet, Robert",tech,data_science,242.0,Apress,17.0,
"New Machiavelli, The","Wells, H. G.",fiction,novel,180.0,Penguin,18.0,
Physics & Philosophy,"Heisenberg, Werner",philosophy,science,197.0,Penguin,19.0,
Making Software,"Oram, Andy",tech,computer_science,232.0,O'Reilly,20.0,
"Analysis, Vol I","Tao, Terence",tech,mathematics,248.0,HBA,21.0,
Machine Learning for Hackers,"Conway, Drew",tech,data_science,233.0,O'Reilly,22.0,
"Signal and the Noise, The","Silver, Nate",tech,data_science,233.0,Penguin,23.0,
Python for Data Analysis,"McKinney, Wes",tech,data_science,233.0,O'Reilly,24.0,
Introduction to Algorithms,"Cormen, Thomas",tech,computer_science,234.0,MIT Press,25.0,
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,history,198.0,Penguin,26.0,
"Outsider, The","Camus, Albert",fiction,classic,198.0,Penguin,27.0,
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,classic,176.0,Random House,28.0,
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,classic,176.0,Random House,29.0,
"Wealth of Nations, The","Smith, Adam",science,economics,175.0,Random House,30.0,
"Pillars of the Earth, The","Follett, Ken",fiction,novel,176.0,Random House,31.0,
Mein Kampf,"Hitler, Adolf",nonfiction,autobiography,212.0,Rupa,32.0,
"Tao of Physics, The","Capra, Fritjof",science,physics,179.0,Penguin,33.0,
Surely You're Joking Mr Feynman,"Feynman, Richard",science,physics,198.0,Random House,34.0,
"Farewell to Arms, A","Hemingway, Ernest",fiction,classic,179.0,Rupa,35.0,
"Veteran, The","Forsyth, Frederick",fiction,novel,177.0,Transworld,36.0,
False Impressions,"Archer, Jeffery",fiction,novel,177.0,Pan,37.0,
"Last Lecture, The","Pausch, Randy",nonfiction,autobiography,197.0,Hyperion,38.0,
